trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.20270290824698028}",20,14,-43.21431622660095,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.19864885008204067}",35,20,-26.010080400769823,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.19467587308039985}",25,0,24.147163820845453,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.19078235561879187}",25,14,10.381505359591536,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.18696670850641603}",20,15,1.1109085859225836,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18322737433628772}",30,18,-33.38460650555788,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.17956282684956196}",25,14,4.911894524425417,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.1759715703125707}",25,15,-13.406651613719799,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.1724521389063193}",25,16,13.077919120686271,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.16900309612819292}",20,0,24.81569948364937,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.16562303420562907}",25,0,-12.729803574789091,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.16231057352151648}",25,14,-1.1841437850144843,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.15906436205108615}",30,12,-65.48889339507471,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.15588307481006441}",25,14,10.876255181176807,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15276541331386312}",20,0,15.251431009760315,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.14971010504758586}",20,16,7.763031105814129,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14671590294663414}",20,0,4.432479876437068,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.14378158488770146}",20,0,-4.306336408747145,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.14090595318994742}",20,2,-43.50618640163078,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.13808783412614847}",30,18,18.893607427842056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.13532607744362551}",20,5,-62.420716999510034,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
100,False,"{'a': 0.5, 'e': 0.132619555894753}",20,0,-9.483908493420158,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.12996716477685794}",20,14,8.85799275278239,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.12736782148132078}",30,20,16.31360738191933,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.12482046505169436}",20,15,10.519143140094332,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12232405575066048}",25,8,12.628595103885392,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.11987757463564727}",20,2,24.50842077213324,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.11748002314293432}",30,18,11.145052018110116,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.11513042268007563}",30,13,-24.077030235713437,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11282781422647412}",20,13,12.336927233905506,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11057125794194463}",20,0,27.09341443170583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.10835983278310574}",20,14,13.185217458882985,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.10619263612744362}",30,15,-12.61151866290671,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.10406878340489474}",20,11,-19.771518280645626,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.10198740773679685}",30,12,12.287957332295209,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.09994765958206091}",20,0,15.260360096353255,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.0979487063904197}",20,10,1.5164781596991581,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.0959897322626113}",25,11,-21.549602829492887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.09406993761735907}",20,8,12.50051360856725,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.0921885388650119}",20,0,-72.19395604925225,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.09034476808771166}",20,7,2.109277568719661,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.08853787272595742}",20,5,-25.547360056098206,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.08676711527143827}",20,8,11.613567518009615,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.0850317729660095}",20,5,15.627448592855854,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.08333113750668932}",20,6,10.498291966838803,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08166451475655553}",25,20,9.064802636302439,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08003122446142442}",35,23,-13.65378948866945,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.07843059997219594}",30,2,44.047298066703114,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.07686198797275202}",20,10,-26.96217475106043,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.07532474821329699}",25,17,13.553752337856364,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07381825324903105}",20,9,17.82239202292819,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.07234188818405042}",30,22,13.712922338985496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.07089505042036941}",20,9,19.149508379605344,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.06947714941196202}",20,0,18.800406719746437,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.06808760642372277}",25,15,18.99045988288772,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.06672585429524831}",20,0,17.140254263617653,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.06539133720934334}",20,14,-11.212642173027769,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.06408351046515648}",20,8,22.535009448824326,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.06280184025585335}",20,0,23.992994758075465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.061545803450736285}",20,0,-34.25826005003594,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.060314887381721555}",20,0,30.36645957876782,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.05910858963408712}",20,0,-0.3483429201416506,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.05792641784140538}",25,17,-27.12085457378873,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.05676788948457727}",25,20,9.796251511338735,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.055632531694885724}",20,0,33.03625257545844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.054519881060988006}",20,15,7.6597389091030355,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.05342948343976824}",25,0,22.538385755672582,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.052360893770972874}",20,10,16.25359227282553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.05131367589555342}",25,14,17.418736298102168,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.05028740237764235}",25,5,6.987108869715502,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.0492816543300895}",25,12,27.83378172232276,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.04829602124348771}",20,6,24.81104180721843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.04733010081861796}",25,7,24.627185165536755,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.0463834988022456}",20,7,-28.979460790767867,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.04545582882620069}",20,14,11.660889225163569,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.04454671224967667}",30,21,3.5949955181625852,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.043655778004683135}",35,14,40.38473409042643,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.04278266244458947}",25,1,31.067518298824172,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.04192700919569768}",25,11,21.43516850808595,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.04108846901178373}",25,0,-8.323217245812344,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.04026669963154805}",30,23,11.582206974711575,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.03946136563891709}",20,0,23.2721625824611,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.03867213832613875}",25,8,-14.776481252503062,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.037898695559615975}",20,16,6.544038506714459,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.03714072164842366}",25,7,3.9194522977706177,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.03639790721545518}",35,20,28.17697409926166,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.035669949071146075}",25,15,7.981072109136548,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.034956550089723155}",25,15,17.636644203870773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.03425741908792869}",25,18,10.729168928721306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03357227070617012}",30,10,20.389097814452473,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.032900825292046715}",20,11,16.711294577738762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.03224280878620578}",30,17,23.93819237341841,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.031597952610481664}",20,3,16.29666356264681,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.03096599355827203}",20,9,17.13123467128713,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
